,task,input,output
28933,orthography_starts_with,Students enter high level educational institutions might face many problems relating to study habits. [t],to
29081,orthography_starts_with,The day when Jim got fired was a sad day for everyone. [a],a
29957,orthography_starts_with,John talked to any woman who came up to him. [w],woman who
29921,orthography_starts_with,Carla slid those books across the table. [b],books
31743,orthography_starts_with,The very young child walked from school to the store. [v],very
31391,orthography_starts_with,She did away with her father. [h],her
29381,orthography_starts_with,I had hoped that it was true for many years that Rosa Luxemburg had actually defected to Iceland. [r],rosa
29783,orthography_starts_with,The students know the answers. [k],know
28990,orthography_starts_with,"In this experiment, fourteen variables must be kept track of simultaneously. [i]",in
30720,orthography_starts_with,A fire raged in the mountains. [i],in
30979,orthography_starts_with,Cynthia gobbled the pizza . [t],the
29643,orthography_starts_with,"Sue moved, and Mary also transferred, her business to a different location. [l]",location
30813,orthography_starts_with,I consider there to be a man in that garden. [g],garden
31110,orthography_starts_with,Alison ran [r],ran
30271,orthography_starts_with,John died last night. [j],john
29142,orthography_starts_with,John talked to a woman who came up to him. [j],john
30985,orthography_starts_with,Barbara handed the intriguing results of the latest examination to Alan on Tuesday. [h],handed
31179,orthography_starts_with,We offered her a job. [o],offered
29698,orthography_starts_with,The plums were weighed by the grocer. [p],plums
30235,orthography_starts_with,The luscious chick who Billy went to the movies with will wed me ere the morn. [l],luscious
30532,orthography_starts_with,This drug must first be tested on oneself. [b],be
30321,orthography_starts_with,Mary has more enemies than Bill has friends. [e],enemies
31400,orthography_starts_with,Louis hinted Mary stole the purse deftly. [m],mary
30155,orthography_starts_with,Each room sleeps five people. [s],sleeps
29112,orthography_starts_with,The wealthy young man bought his secret fianc e that piano. [b],bought
30496,orthography_starts_with,They praised the volunteers. [v],volunteers
31188,orthography_starts_with,John is no more reliable a fellow than Bill. [i],is
30161,orthography_starts_with,Cora coiled the rope around the post. [r],rope
30927,orthography_starts_with,The piano Frank bought for Jane. [f],frank for
29099,orthography_starts_with,"Tom will force you to marry no student, and neither will I. [f]",force
30178,orthography_starts_with,It is rumored that he left town. [t],that town
28953,orthography_starts_with,Gloria dozed. [g],gloria
30873,orthography_starts_with,I found delicious some fruit which I picked up on my way home. [f],found fruit
30030,orthography_starts_with,Each of these stones has to be cut and polished. [h],has
30071,orthography_starts_with,I asked for him to eat the asparagus. [e],eat
30039,orthography_starts_with,Everyone of us be given a prize. [u],us
28908,orthography_starts_with,They hit the ball. [b],ball
30660,orthography_starts_with,It is this hat that I believe that he was wearing. [i],it is i
30728,orthography_starts_with,This parcel is very heavy. [t],this
29517,orthography_starts_with,These plants may grow as high as feet. [f],feet
30865,orthography_starts_with,Margaret cut at the bread. [c],cut
30762,orthography_starts_with,The cat was sleeping in the kitchen. [s],sleeping
28912,orthography_starts_with,Fond of some boy every girl is. [e],every
30175,orthography_starts_with,Ayala went to the ball and was chatted to by Jonathan Stubbs. [j],jonathan
31038,orthography_starts_with,He seems intelligent enough for you. [e],enough
30826,orthography_starts_with,Who did you hear an oration about? [o],oration
29703,orthography_starts_with,What John did to the wall was paint it. [p],paint
29238,orthography_starts_with,Mary prefers for Bill to come. [m],mary
30596,orthography_starts_with,Jack sprayed paint on the wall. [t],the
29429,orthography_starts_with,Did you believe him to ever have made an effort to talk to the student? [a],an
30968,orthography_starts_with,Students enter high level educational institutions might face many problems relating to study habits. [r],relating
30219,orthography_starts_with,Nina got them to elect Bill. [g],got
31739,orthography_starts_with,I doubt that Mary reads mysteries. [i],i
30296,orthography_starts_with,Mary tried to go abroad. [g],go
30781,orthography_starts_with,Bill broke the bathtub into pieces. [t],the
30111,orthography_starts_with,It was to the student that the teacher gave the best advice. [s],student
30368,orthography_starts_with,Fifty pounds seem like a lot of weight to lose in one year. [i],in
30578,orthography_starts_with,What I said was that we would go. [g],go
28993,orthography_starts_with,Did the doctor prescribe aspirin? [t],the
28938,orthography_starts_with,John talked to almost any woman who came up to him. [u],up
30910,orthography_starts_with,Bill claims John believes Mary thinks Tom is honest. [c],claims
31682,orthography_starts_with,The door has a fresh coat of paint. [h],has
29511,orthography_starts_with,I know two men behind me. [i],i
29725,orthography_starts_with,This is the dog that chased the cat that caught the rat that ate the cheese. [r],rat
29791,orthography_starts_with,This rock is too heavy for me to begin to decide about helping Bob to try to pick it up. [p],pick
29528,orthography_starts_with,Wanda taught the students French. [t],taught the
29844,orthography_starts_with,He is afraid of foxes. [i],is
29510,orthography_starts_with,John and the man went to the store. [a],and
28971,orthography_starts_with,It was Anne Elliott who loved Captain Wentworth but who rejected his first proposal. [h],his
31274,orthography_starts_with,"To find a new mate, go to a dating service. [d]",dating
31162,orthography_starts_with,John is prouder of having gone than I expected you to believe he would be of not having fallen asleep. [j],john
31730,orthography_starts_with,We cannot put up with the noise anymore. [n],noise
31186,orthography_starts_with,Some branches broke off of the tree. [s],some
30301,orthography_starts_with,It was the girl who kicked the ball. [w],was who
31052,orthography_starts_with,Jack may be and Tony certainly is a werewolf. [w],werewolf
30226,orthography_starts_with,Tom bathed Fido in the garage. [b],bathed
30060,orthography_starts_with,"Although Bob may not be a nut, many people have claimed it and I think so too. [c]",claimed
29305,orthography_starts_with,The ship sank beneath the waves. [b],beneath
30053,orthography_starts_with,John deposited some money in the checking account on Friday and Mary did the same thing on Monday. [s],some same
30096,orthography_starts_with,At p.m. I saw John lecturing to everyone who was near him. [p],p
30439,orthography_starts_with,"Every senator becomes more corrupt, the more lobbyists he talks to. [b]",becomes
31066,orthography_starts_with,What does John think Mary bought? [b],bought
28954,orthography_starts_with,John asks in which box he put the book. [a],asks
30692,orthography_starts_with,Mary considered John to have loved her. [h],have her
30556,orthography_starts_with,He kicked you. [y],you
29963,orthography_starts_with,John leave for Seoul tomorrow? [j],john
29524,orthography_starts_with,This very heavy parcel was delivered yesterday. [v],very
30411,orthography_starts_with,Mary wondered which picture of himself Bill saw? [p],picture
29816,orthography_starts_with,The tub filled with water. [f],filled
29772,orthography_starts_with,Mary gets depressed when she listens to the Grateful Dead. [s],she
31584,orthography_starts_with,Carol cut at the bread. [t],the
31095,orthography_starts_with,I have getting into college to consider. [c],college consider
29016,orthography_starts_with,John promised Bill to leave. [j],john
30673,orthography_starts_with,I showed Mary several portraits of herself. [o],of
30808,orthography_starts_with,He replied that he was happy. [r],replied
29411,orthography_starts_with,Mary jumped the horse over the last fence perfectly. [o],over
29190,orthography_starts_with,Susan rode a bright blue train from New York. [y],york
31516,orthography_starts_with,I mixed the eggs with cream. [w],with
30595,orthography_starts_with,Dana is longing for a sunny day. [f],for
29070,orthography_starts_with,The Beatles all came to Merle Park. [b],beatles
30024,orthography_starts_with,I went to the store and bought some whiskey. [s],store some
30245,orthography_starts_with,They know if Mary won. [i],if
29325,orthography_starts_with,The judge offered a prize to the winner. [p],prize
30667,orthography_starts_with,The curtain which Fred tore in rolling up was the kind gift of my maternal Aunt Priscilla. [r],rolling
29053,orthography_starts_with,Anybody who ever swears at me better watch his step. [s],swears step
30997,orthography_starts_with,Which pictures of him did Earl see? [h],him
28902,orthography_starts_with,John is running to the car. [t],to the
31021,orthography_starts_with,I want him to eat asparagus. [a],asparagus
30055,orthography_starts_with,George sang to himself. [g],george
29717,orthography_starts_with,John wants to come up with a solution as good as Christine. [s],solution
29364,orthography_starts_with,The message was that you should come on time. [m],message
30909,orthography_starts_with,Grandma is coming here tomorrow. [g],grandma
31082,orthography_starts_with,the book of poems with a red cover and with a blue spine takes a very long time to read. [c],cover
30255,orthography_starts_with,I know a man who saw Bill and liked Mary. [s],saw
30629,orthography_starts_with,A choir sang in the church. [c],choir church
29257,orthography_starts_with,I wonder who Bill saw and Mary liked. [b],bill
30458,orthography_starts_with,Jack eats caviar more than he eats mush. [m],more mush
30276,orthography_starts_with,Lora buttered the toast with unsalted butter. [t],the toast
30949,orthography_starts_with,I consider him immoral. [h],him
29393,orthography_starts_with,John tries to be honest. [b],be
30455,orthography_starts_with,the branch dropped its apple free. [f],free
30392,orthography_starts_with,Paula swatted the fly with a cloth. [a],a
29705,orthography_starts_with,Fred must have been both singing songs and drinking beer. [f],fred
29586,orthography_starts_with,Two or three books take a very long time to read. [t],two three take time to
29819,orthography_starts_with,The quiche and I were cooking. [t],the
30394,orthography_starts_with,The vase stood on the table in the hall. [o],on
29172,orthography_starts_with,John does not like Mary. [m],mary
29536,orthography_starts_with,Brezhnev had said for Andropov to leave. [l],leave
29018,orthography_starts_with,"That he was sick, we talked about for days. [d]",days
28943,orthography_starts_with,That evening John laughed with everybody he talked to. [w],with
29078,orthography_starts_with,"Then, John left. [t]",then
30964,orthography_starts_with,The door hinges squeaked. [t],the
30501,orthography_starts_with,The big man from NY has often said that he gave peanuts to elephants. [b],big
31034,orthography_starts_with,John knows that she left and whether she will come back. [j],john
30473,orthography_starts_with,The king loved peanut butter cookies. [l],loved
30948,orthography_starts_with,The couple waltzed to the window. [c],couple
29728,orthography_starts_with,Frank bought a piano for Jane. [b],bought
30698,orthography_starts_with,The doctor cured Pat of pneumonia. [p],pat pneumonia
29123,orthography_starts_with,Every student who attended the party had a good time. [s],student
29264,orthography_starts_with,Kim is eager to please. [i],is
31210,orthography_starts_with,It hung on the wall. [w],wall
31357,orthography_starts_with,Herman mixed the eggs and the cream. [h],herman
29163,orthography_starts_with,The barber shaved my chin. [m],my
29594,orthography_starts_with,Belinda walked the soles off her shoes. [b],belinda
29880,orthography_starts_with,Jim was happily chopping logs. [c],chopping
29706,orthography_starts_with,The jeweller decorated the ring with the name. [d],decorated
28913,orthography_starts_with,This girl in the red coat will eat her breakfast and will put a picture of Bill on your desk before tomorrow. [i],in
29926,orthography_starts_with,John laid the book on the table. [j],john
30137,orthography_starts_with,"Sandy will read your reports, but Harold will not. [s]",sandy
31114,orthography_starts_with,We persuaded the dentist to examine us. [w],we
30702,orthography_starts_with,Benjamin gave the cloak and sent the book to Lee [a],and
31083,orthography_starts_with,Acknowledge that everyone has limits. [e],everyone
29045,orthography_starts_with,Burn letters to him! [t],to
29960,orthography_starts_with,There seem to be a good feeling developing among the students. [a],a among
30898,orthography_starts_with,I think that person we met last week is insane. [t],think that
30593,orthography_starts_with,Will George indeed not endorse the treaty? [i],indeed
29822,orthography_starts_with,I explained how to fix the sink. [t],to the
30468,orthography_starts_with,It rains. [i],it
30890,orthography_starts_with,Lee voted for Bill because his father told him to. [b],bill because
30822,orthography_starts_with,What did you buy at the supermarket? [t],the
29021,orthography_starts_with,They paid a lot of attention to the matter. [a],a attention
31432,orthography_starts_with,Fred tore the curtain in roiling it up. [t],tore the
30059,orthography_starts_with,He was arrested for being drunk. [b],being
30712,orthography_starts_with,Targets can be observed at any angle. [o],observed
29521,orthography_starts_with,It is your notes that John wants to look at after class. [n],notes
30211,orthography_starts_with,They wondered what she did yesterday. [y],yesterday
29635,orthography_starts_with,He seems intelligent enough for you. [i],intelligent
31364,orthography_starts_with,Dana longs for a sunny day. [l],longs
29882,orthography_starts_with,My friends wanted to quickly leave the party. [p],party
29173,orthography_starts_with,This girl in the red coat will put it and a picture of Bill on your desk before tomorrow. [b],bill before
29566,orthography_starts_with,Everyone reported that Max and some lady disappeared. [l],lady
30121,orthography_starts_with,The sinking of the ship was very devious. [w],was
31030,orthography_starts_with,John said he was sick. [w],was
30123,orthography_starts_with,He always eats deep fried muffins. [d],deep
29519,orthography_starts_with,Make yourself comfortable. [c],comfortable
30784,orthography_starts_with,That it was obvious that it would confuse the guards for Herschel to throw a fit is not true. [h],herschel
29424,orthography_starts_with,How long did this fit of generosity last and who gave what to whom? [h],how
29148,orthography_starts_with,I saw the student. [s],saw student
31847,orthography_starts_with,Pat is a Republican and proud of it. [o],of
30465,orthography_starts_with,Springfield would have built a police station with the federal grant. [a],a
30075,orthography_starts_with,Never have I been spoken to so rudely! [n],never
31518,orthography_starts_with,I wonder whether Mary has worked for Microsoft. [m],mary microsoft
29640,orthography_starts_with,Perhaps Iphigenia will have murdered Oedipus by tomorrow. [b],by
31026,orthography_starts_with,Daniel became a blond. [d],daniel
29017,orthography_starts_with,Over different contaminants have been dumped into the river. [c],contaminants
30798,orthography_starts_with,Bill wants John to leave. [j],john
29512,orthography_starts_with,Which picture that John took at the party did he decide to display in his house? [t],that took the to
30989,orthography_starts_with,"The more that pictures of him appear in the news, the more embarrassed John becomes. [e]",embarrassed
31053,orthography_starts_with,I know I bought the book that you recommended. [r],recommended
31843,orthography_starts_with,That monkey is eating the banana. [m],monkey
31838,orthography_starts_with,A choir sang in the church. [i],in
30151,orthography_starts_with,Humans love to eat those pigs. [t],to those
29905,orthography_starts_with,Exactly two boys kissed some girl. [g],girl
30831,orthography_starts_with,Gilgamesh can seek Ishtar [c],can
29036,orthography_starts_with,They think that she can do it. [c],can
31217,orthography_starts_with,John said Martha sang the aria with gusto. [t],the
31255,orthography_starts_with,It was John and Bill that were waiting at the restaurant. [r],restaurant
29118,orthography_starts_with,The parcel reached John. [r],reached
30173,orthography_starts_with,Which pictures of Bill did she put on your desk. [d],did desk
29170,orthography_starts_with,Odysseus planned to hear the sirens. [t],to the
29259,orthography_starts_with,Some sentences can go on. [o],on
30474,orthography_starts_with,You may pick any flower. [p],pick
30269,orthography_starts_with,John mentioned to me that the question is an issue. [i],is issue
30367,orthography_starts_with,I think that learning English is not all that easy. [n],not
30824,orthography_starts_with,The student who got A in the class was very happy. [h],happy
29302,orthography_starts_with,Chocolate cakes and pies are my favorite desserts. [m],my
31895,orthography_starts_with,She was sent a review copy of the book by the publisher. [s],she sent
29215,orthography_starts_with,Rory will eat the muffins. [m],muffins
30871,orthography_starts_with,Alison poked the cloth. [a],alison
30110,orthography_starts_with,Jean is reluctant. [j],jean
29784,orthography_starts_with,All of the plant virus web sites have been conveniently collected in one central location. [p],plant
30422,orthography_starts_with,Each of the boys fought with the other boys. [o],of other
29659,orthography_starts_with,It disturbs the Chinese government that the Dalai Lama claims Tibet independence. [c],chinese claims
31198,orthography_starts_with,Which celebrity did he mention that he had run into? [w],which
30101,orthography_starts_with,John liked anything that was placed before him. [w],was
31616,orthography_starts_with,They wanted to leave tomorrow or on Tuesday. [l],leave
30919,orthography_starts_with,I sent Louis a book. [s],sent
30771,orthography_starts_with,There are fewer trucks on the motorway this winter. [m],motorway
29629,orthography_starts_with,Rory must have eaten the muffins. [t],the
29256,orthography_starts_with,John gave the books to Mary and the records to Sue. [s],sue
31442,orthography_starts_with,Susan consented to try to seem to have been kissed. [h],have
29228,orthography_starts_with,The TA who graded him says that John did really well. [h],him
30159,orthography_starts_with,"If John wants to succeed in corporate life, he has to know the rules of the game. [c]",corporate
30157,orthography_starts_with,The barber shaved my chin. [b],barber
29151,orthography_starts_with,"Mary will believe Susan, and you will Bob. [y]",you
30209,orthography_starts_with,Which goddess helped us? [g],goddess
29754,orthography_starts_with,There is a bench for you to sit on. [o],on
29591,orthography_starts_with,Through the hall there echoed a loud cry. [a],a
31628,orthography_starts_with,The meat cuts easily. [t],the
29484,orthography_starts_with,The fans were deliberately provoked by a rival group. [p],provoked
29641,orthography_starts_with,"Mrs Bennet having taken the others upstairs, Mr Bingley proposed to. [b]",bennet bingley
28965,orthography_starts_with,"You should always lock your door, no matter how fancy the hotel might be. [s]",should
29859,orthography_starts_with,"Any senator seems to become more corrupt, as he talks to more lobbyists. [b]",become
29024,orthography_starts_with,the book of poems with a red cover by Robert Burns from Blackwell takes a very long time to read. [f],from
30550,orthography_starts_with,Perhaps Iphigenia will have murdered Oedipus by tomorrow. [h],have
31120,orthography_starts_with,Felicia kicked the ball out the window. [k],kicked
30823,orthography_starts_with,Loren was relied on by Pavarotti and Hepburn by Bond. [w],was
29989,orthography_starts_with,"He had hardly collected the papers on his desk, had he? [t]",the
30507,orthography_starts_with,I saw these dancers and those musicians smoking something. [t],these those
29515,orthography_starts_with,That Bill tried to discover which drawer Alice put the money in made us realize that we should have left him in Seoul. [w],which we
29674,orthography_starts_with,Hera tried to appear to be happy. [b],be
30464,orthography_starts_with,Mary talked to any student who was angry. [m],mary
29542,orthography_starts_with,The child was never deceived. [w],was
29400,orthography_starts_with,A flowering plant is on the windowsill. [f],flowering
30657,orthography_starts_with,"Kim was dancing, and Sandy was, too. [t]",too
30575,orthography_starts_with,Mary should know that you must go to the station. [y],you
31330,orthography_starts_with,Harriet alternated folk songs and pop songs. [p],pop
31553,orthography_starts_with,Would you mind taking out the garbage? [y],you
30481,orthography_starts_with,I asked if Medea poisoned Jason. [j],jason
30780,orthography_starts_with,John suddenly put off the customers. [j],john
31772,orthography_starts_with,I saw the brilliant student with long hair. [b],brilliant
31236,orthography_starts_with,"Mary, who John asked for help, thinks he is foolish. [m]",mary
30477,orthography_starts_with,I gave myself the bucket of ice cream. [t],the
31697,orthography_starts_with,More caviar than mush is eaten by Jack. [c],caviar
29140,orthography_starts_with,He is the happiest that it is believed that he has ever been. [b],believed been
30817,orthography_starts_with,Can he not have been working? [w],working
30693,orthography_starts_with,I need to have that report on our web page by tomorrow. [p],page
31510,orthography_starts_with,The fence straddles the sidewalk. [f],fence
31652,orthography_starts_with,"The more obnoxious Fred is, the less attention you should pay to him. [i]",is
31723,orthography_starts_with,Jane has more nearly as many too many than Mary. [j],jane
29499,orthography_starts_with,He hurt himself with it when he tried to open it. [o],open
31782,orthography_starts_with,That anybody ever left at all is not known. [t],that
30924,orthography_starts_with,The senator should not have forgotten the concerns of her constituents. [f],forgotten
29735,orthography_starts_with,That ball sang a student. [b],ball
31603,orthography_starts_with,Ryan hit Andrew. [r],ryan
31054,orthography_starts_with,"Sally might be pregnant, and I know a girl who definitely is pregnant. [w]",who
30600,orthography_starts_with,The trail we walked today was built by slave labor. [l],labor
29490,orthography_starts_with,Either Dana or Lee are going to lead the parade. [e],either
31507,orthography_starts_with,Calvin will strike himself and Otto will too. [o],otto
29273,orthography_starts_with,They can sing. [s],sing
31449,orthography_starts_with,Sue said something although she was the most likely not to say anything. [a],although anything
31765,orthography_starts_with,This large parcel is very heavy. [l],large
31202,orthography_starts_with,This scratch will cost Kim to fix. [w],will
30542,orthography_starts_with,No boys will put a picture of Bill on your desk before tomorrow. [n],no
29937,orthography_starts_with,Who did Mary see walking toward the railroad station? [s],see station
31660,orthography_starts_with,The official to whom Smith loaned the money has been indicted. [o],official
31850,orthography_starts_with,These fields were marched over by all the armies of Europe. [a],all armies
31791,orthography_starts_with,This is the gold that John put under the bathtub. [p],put
29620,orthography_starts_with,"Playing with matches is lots of fun, but doing, so and emptying gasoline from one can to another at the same time is a sport best reserved for arsons. [e]",emptying
29232,orthography_starts_with,"The more that pictures of him appear in the news, the more likely John is to get arrested. [o]",of
30957,orthography_starts_with,Each of these stones has to be cut and polished. [o],of
31413,orthography_starts_with,John believes Bill to have slept. [j],john
29346,orthography_starts_with,A man just came in and a woman went out who hate each other like poison and always have. [l],like
28901,orthography_starts_with,I prefer for the girl to put a picture there. [a],a
31147,orthography_starts_with,Who are you trying to get hold of? [t],trying to
29394,orthography_starts_with,He treats John very nicely. [h],he
29581,orthography_starts_with,Every student who wins any trophy displays it in a prominent place. [a],any a
31805,orthography_starts_with,"During the early evening, Saturn can be found in the north, while Jupiter rises in the east. [s]",saturn
31617,orthography_starts_with,I hunted the secret out of him. [o],out of
31304,orthography_starts_with,Which book and which pencil did John buy? [p],pencil
31702,orthography_starts_with,To please John would be difficult. [b],be
29284,orthography_starts_with,He gave me more of his marbles than I wanted. [w],wanted
31325,orthography_starts_with,Martha carved a toy for the baby. [c],carved
31819,orthography_starts_with,Kim and Sandy met in Seoul in the lobby of the Lotte Hotel in March. [o],of
30143,orthography_starts_with,We decided to paint the bathroom a lurid lime green colour. [p],paint
31395,orthography_starts_with,"I rolled up a newspaper, and Lynn did a magazine? [u]",up
31659,orthography_starts_with,Herman mixed the eggs and the cream together. [m],mixed
31241,orthography_starts_with,It was to Boston that they decided to take the patient. [b],boston
31529,orthography_starts_with,Terry touched the cat. [t],terry touched the
29088,orthography_starts_with,They believe the cat to be out of the bag. [b],believe be bag
31600,orthography_starts_with,Anson became the Mayor [m],mayor
29834,orthography_starts_with,I gave Leah the box. [i],i
30047,orthography_starts_with,He baked Tom the bread last night. [n],night
31554,orthography_starts_with,I am fond of him. [f],fond
31538,orthography_starts_with,We are aware of the existing problems. [t],the
30684,orthography_starts_with,John asks which book by his father he read. [r],read
31766,orthography_starts_with,"Two days ago, we went out to dinner, and this afternoon, to the movies. [w]",we went
31441,orthography_starts_with,He let the cats out which were whining. [h],he
30351,orthography_starts_with,I have six marbles too many. [m],marbles many
31168,orthography_starts_with,What did you put in your box? [b],box
31728,orthography_starts_with,I know I bought the book that you recommended. [b],bought book
30644,orthography_starts_with,"How much harder has it rained, when you see a faster flow in the river? [h]",how harder has
31386,orthography_starts_with,I am hoping that the weather is lovely today. [h],hoping
29402,orthography_starts_with,It is with long hair. [w],with
29637,orthography_starts_with,John wonders whether to win. [t],to
30724,orthography_starts_with,Christina is ready to leave. [t],to
30046,orthography_starts_with,One plan which I got wind of was calculated to keep us in suspense. [s],suspense
29351,orthography_starts_with,She waltzed across the floor. [w],waltzed
31184,orthography_starts_with,John will leave the party earlier. [w],will
31770,orthography_starts_with,What I meant was that you have done it really well. [m],meant
30146,orthography_starts_with,There lived a man with his grandson. [a],a
29943,orthography_starts_with,The socks are ready for you to put on. [a],are
29970,orthography_starts_with,The fact that John is snoring is informative. [f],fact
30842,orthography_starts_with,The police might plant the drugs in the apartment. [d],drugs
30322,orthography_starts_with,I have six more of them. [i],i
31183,orthography_starts_with,It occurred to Pat that Chris knew the answer. [a],answer
29947,orthography_starts_with,Did John wonder who would win the game? [g],game
30051,orthography_starts_with,Fanny stopped talking because in came Aunt Norris. [s],stopped
28922,orthography_starts_with,Sylvia will be slapping Jeff upside the head in martial arts class. [c],class
30991,orthography_starts_with,It is crucial for John to show an interest. [c],crucial
30409,orthography_starts_with,We believed him to be omnipotent [o],omnipotent
31232,orthography_starts_with,John whined that he was hungry. [w],whined was
31358,orthography_starts_with,Some of the water from melted snow also goes into the ground for plants. [f],from for
30379,orthography_starts_with,What place did John send the book? [p],place
31158,orthography_starts_with,These are the things for which to be thankful. [a],are
30567,orthography_starts_with,Pat is likely to be examined by the dentist. [d],dentist
30794,orthography_starts_with,Bill dried the clothes with a hair dryer. [b],bill
29729,orthography_starts_with,John knew every language that we encountered on our trip. [w],we
30317,orthography_starts_with,I pushed against the table. [i],i
29323,orthography_starts_with,I tried for to get them. [t],tried to them
29546,orthography_starts_with,Who did Bill leave. [l],leave
29613,orthography_starts_with,The cat ate the spider. [s],spider
31244,orthography_starts_with,At p.m. I saw John lecturing to everyone who was near him. [m],m
31420,orthography_starts_with,Ellen talked with Helen about the problem. [w],with
30915,orthography_starts_with,David wrote that you said that Anson thought that Julie had fainted [s],said
30207,orthography_starts_with,That he ever went there alone is odd. [a],alone
30270,orthography_starts_with,I believe it to be the switch that is defective. [i],i it is
30171,orthography_starts_with,The prisoner must have been being interrogated when the supervisor walked into the room and saw what was going on and put a stop to it. [g],going
29388,orthography_starts_with,"Mary sang a song, but Lee did not. [s]",sang song
29560,orthography_starts_with,Amanda drove the package to Pamela. [a],amanda
30260,orthography_starts_with,The jeweller decorated the ring with the name. [w],with
29765,orthography_starts_with,Whether to win is a question Mary never considered. [t],to
30528,orthography_starts_with,He remained a good friend to me. [h],he
31874,orthography_starts_with,Time flies like an arrow. [t],time
30647,orthography_starts_with,Carol carved the marble with a chisel. [m],marble
30282,orthography_starts_with,George gave Jessica the book. [b],book
30302,orthography_starts_with,"Only Churchill remembered giving the Blood, Sweat and Tears speech. [g]",giving
28982,orthography_starts_with,It was so awful a picture that I tore it up. [u],up
31351,orthography_starts_with,That the police would arrest several rioters was a certainty. [a],arrest a
30851,orthography_starts_with,The dragons simply all died out. [a],all
30723,orthography_starts_with,I want him to eat asparagus. [w],want
30164,orthography_starts_with,I have six too many marbles. [s],six
29995,orthography_starts_with,My pastor says I ate too much cake. [c],cake
29612,orthography_starts_with,I know a man who Bill saw and Mary liked. [b],bill
29764,orthography_starts_with,I told Daniel the story. [d],daniel
30557,orthography_starts_with,"The more that pictures of him appear in the news, the more embarrassed John becomes. [o]",of
31504,orthography_starts_with,Was the piano bought for Jane by Frank? [b],bought by
30316,orthography_starts_with,Fiona has not eaten the sauteed candy canes. [s],sauteed
29555,orthography_starts_with,"Hank plays the guitar and finds arrangements for all the old folk songs which are still sung in these hills, and Ernie writes down all the old folk songs which are still sung in these hills. [g]",guitar
29290,orthography_starts_with,Reports the lettering on the covers of which the government prescribes the height of are a shocking waste of public funds. [p],prescribes public
30277,orthography_starts_with,I like Mary and she likes me. [a],and
29309,orthography_starts_with,Nora sent books to children. [n],nora
31869,orthography_starts_with,Do you know the boy whom Mary saw? [t],the
29889,orthography_starts_with,He repeated his claim that the people backed his action. [c],claim
30495,orthography_starts_with,That Jason arrived infuriated Medea. [t],that
28983,orthography_starts_with,a The butcher cuts the meat. [c],cuts
30184,orthography_starts_with,Herman mixed the eggs with the cream. [h],herman
30332,orthography_starts_with,Who asked which statue which tourist had taken a photo of? [a],asked a
31116,orthography_starts_with,"If you give him enough opportunity, every senator will succumb to corruption. [t]",to
30951,orthography_starts_with,I have often a cold. [o],often
30440,orthography_starts_with,I sent the package to the Antarctic. [s],sent
29661,orthography_starts_with,John tried to sleep. [s],sleep
29739,orthography_starts_with,Bill sent Tom a package. [t],tom
30338,orthography_starts_with,"You should always lock your door, no matter how fancy the hotel might be. [t]",the
30787,orthography_starts_with,It is not allowed to incriminate oneself. [a],allowed
30718,orthography_starts_with,They painted their house a hideous shade of green. [h],house hideous
30239,orthography_starts_with,The very old and extremely wise owl. [w],wise
29569,orthography_starts_with,No spy betrayed himself. [s],spy
30381,orthography_starts_with,I cycled around France. [f],france
31568,orthography_starts_with,There are three Davids in my class. [c],class
29568,orthography_starts_with,The tree changed into an oak. [c],changed
28968,orthography_starts_with,This building got taller and wider than that one. [g],got
29667,orthography_starts_with,The man I think chased Fido returned. [f],fido
31481,orthography_starts_with,Who did you think Mary saw? [m],mary
29598,orthography_starts_with,Tom will force you to marry no student. [m],marry
30154,orthography_starts_with,How long did this fit of generosity last and who gave what to whom? [w],who what whom
29544,orthography_starts_with,Who did Mary see walking toward the railroad station? [r],railroad
30369,orthography_starts_with,Who do you think Hobbs imagined Mary said Tom saw? [w],who
29349,orthography_starts_with,When did you arrive? [y],you
29127,orthography_starts_with,This bed was surely slept in by a huge guy last night. [i],in
31216,orthography_starts_with,This is the box in which John put his gold. [w],which
29888,orthography_starts_with,Calvin admired himself in the mirror. [a],admired
29125,orthography_starts_with,Henri wants the book which is on the top shelf. [w],wants which
29295,orthography_starts_with,You must pick a flower. [m],must
31293,orthography_starts_with,John came from Seoul. [s],seoul
31092,orthography_starts_with,John has been taken to the library. [b],been
30897,orthography_starts_with,Calvin has a peanut. [a],a
30731,orthography_starts_with,When can we register for graduation? [c],can
29247,orthography_starts_with,Emily caused Benjamin to see himself in the mirror. [e],emily
31426,orthography_starts_with,He blew up the building. [h],he
28931,orthography_starts_with,That bottle of water might have. [b],bottle
30543,orthography_starts_with,Daniel became a blond. [b],became blond
30128,orthography_starts_with,The jury seemed ready to leave. [s],seemed
29779,orthography_starts_with,He put in the washing machine. [w],washing
29382,orthography_starts_with,I borrowed and my sister stole large sums of money from the bank. [l],large
30203,orthography_starts_with,The soup had been being eaten when it got spilled. [w],when
31141,orthography_starts_with,"Yes, she will. [y]",yes
31429,orthography_starts_with,I prefer for the girl to put a picture there. [t],the to there
28997,orthography_starts_with,John talked to any woman who came up to him. [u],up
31889,orthography_starts_with,The model resembles Kim in nearly every detail. [m],model
30756,orthography_starts_with,I called almost all of the men from Boston up. [o],of
31533,orthography_starts_with,The pigs grunt [g],grunt
30709,orthography_starts_with,It is rumored that he left town. [l],left
30126,orthography_starts_with,It tends to be warm in September. [i],it in
