task,input,output
sentence_similarity,"Sentence 1: Cars, drivers plunge into river after Wash. I-5 bridge collapse Sentence 2: Cars plunge into river as US bridge collapses",3 - probably
sentence_similarity,"Sentence 1: Death toll in Syria now tops 100,000 Sentence 2: Death toll in Syria over 100,000 so far",5 - perfectly
sentence_similarity,"Sentence 1: Communist rebels ambush Philippine police, kill 7 Sentence 2: Communist rebels kill eight Philippine police",4 - almost perfectly
sentence_similarity,"Sentence 1: Egypt's Morsi faces trial for prison break, murder, says prosecution Sentence 2: Egypt's Morsi faces trial for prison break",3 - probably
sentence_similarity,Sentence 1: Iran Nuclear Talks Enter Third Day Sentence 2: Iran nuclear talks enter crucial third day,5 - perfectly
sentence_similarity,"Sentence 1: Thai army declares martial law Sentence 2: Thailand's army declares martial law, denies coup",3 - probably
sentence_similarity,Sentence 1: Woman dies while riding roller coaster in Texas Sentence 2: Woman dies riding roller coaster at Texas amusement park,4 - almost perfectly
sentence_similarity,Sentence 1: Nobel author Doris Lessing dies at 94 Sentence 2: Nobel Prize winning author Doris Lessing dies,4 - almost perfectly
sentence_similarity,Sentence 1: Over 100 dead as typhoon slams central Philippines Sentence 2: At least 100 dead as typhoon batters Philippines,5 - perfectly
sentence_similarity,Sentence 1: First post office savings bank ATM opens in Chennai Sentence 2: India's first post office savings bank ATM inaugurated in Chennai,4 - almost perfectly
sentence_similarity,Sentence 1: Israel agrees to 12 hour ceasefire Sentence 2: Israel agrees to 24-hour Gaza truce,3 - probably
sentence_similarity,Sentence 1: Quake of 6.2 magnitude strikes off Indonesia's Sumatra - USGS Sentence 2: Earthquake of 6.9 magnitude strikes off Indonesia island,3 - probably
sentence_similarity,Sentence 1: British stuntman fell to his death in wing suit mishap Sentence 2: British stuntman dies in wingsuit mishap in Alps,4 - almost perfectly
sentence_similarity,Sentence 1: What makes India vote? Jaipur Lit Fest debates Sentence 2: What makes India vote? Debate at Jaipur Literature Festival,5 - perfectly
sentence_similarity,Sentence 1: White diamond breaks record in Hong Kong auction Sentence 2: White diamond fetches record $34m at HK auction,4 - almost perfectly
sentence_similarity,Sentence 1: Chinese satellite spots large object in search area Sentence 2: Malaysia: Chinese satellite found object in ocean,3 - probably
sentence_similarity,Sentence 1: Hamas Urges Hizbullah to Pull Fighters Out of Syria Sentence 2: Hamas calls on Hezbollah to pull forces out of Syria,5 - perfectly
sentence_similarity,"Sentence 1: U.S. and Russia reach a deal on Syria's chemical weapons Sentence 2: China welcomes US, Russia deal on Syria chemical weapons",3 - probably
sentence_similarity,"Sentence 1: PSNI failed RUC officers, tribunal told Sentence 2: 13:23 PSNI 'failed RUC officer families'",4 - almost perfectly
sentence_similarity,Sentence 1: Stocks edge lower following retail earnings Sentence 2: Stocks edge lower after earnings from retailers,5 - perfectly
sentence_similarity,Sentence 1: Police helicopter crashes into Scottish pub Sentence 2: Police helicopter crashes on top of bar in Glasgow,4 - almost perfectly
sentence_similarity,"Sentence 1: US ups pressure on Israel as UN demands Gaza truce Sentence 2: US, UN up pressure on Israel over Gaza",4 - almost perfectly
sentence_similarity,Sentence 1: Australian PM says 'Very confident' signals are from black box Sentence 2: Australian PM confident sounds are from Flight 370,4 - almost perfectly
sentence_similarity,Sentence 1: Mandela's condition has 'improved' Sentence 2: Mandela's condition has 'worsened over past 48 hours',1 - probably not
sentence_similarity,Sentence 1: Philippe becomes king of Belgium Sentence 2: Philippe ascends throne of divided Belgium,4 - almost perfectly
sentence_similarity,Sentence 1: India anti-graft party takes charge in New Delhi Sentence 2: India's Anti-Graft Party Forms Government in Delhi,4 - almost perfectly
sentence_similarity,Sentence 1: Spain approves new restrictive abortion law Sentence 2: Spanish government approves tight restrictions on abortion,5 - perfectly
sentence_similarity,Sentence 1: Obama orders Syria 'gas attack' inquiry Sentence 2: UN urges Syria gas attack inspection,2 - possibly
sentence_similarity,Sentence 1: German ambassador's Athens residence shot at Sentence 2: Shots fired at German ambassador's residence in Athens,5 - perfectly
sentence_similarity,Sentence 1: Ukraine's jailed opposition icon Tymoshenko walks free Sentence 2: Ukraine's opposition chief wants more protests,2 - possibly
sentence_similarity,Sentence 1: Oklahoma examines what went wrong in botched execution Sentence 2: Okla. inmate dies of heart attack after botched execution,3 - probably
sentence_similarity,Sentence 1: Napolitano elected for second term as Italy president Sentence 2: Italian President Napolitano elected for second term,5 - perfectly
sentence_similarity,Sentence 1: UN court convicts 6 Bosnian Croats of atrocities Sentence 2: UN War Crimes Court Convicts Six Bosnians Croats,4 - almost perfectly
sentence_similarity,Sentence 1: Saudi man with pressure cooker arrested at Detroit airport Sentence 2: Saudi Man Traveling With Pressure Cooker Arrested,4 - almost perfectly
sentence_similarity,Sentence 1: North Korea says to put US citizen on trial Sentence 2: North Korea says detained American tourist to face trial,5 - perfectly
sentence_similarity,Sentence 1: Thai protests escalate amid violence Sentence 2: Thai protesters call general strike,3 - probably
sentence_similarity,Sentence 1: Egypt imposes state of emergency after 95 people killed Sentence 2: Egypt announces one-month state of emergency nationwide,3 - probably
sentence_similarity,"Sentence 1: Rallies demand 'Justice for Trayvon' Sentence 2: Across US, people rally for 'Justice for Trayvon'",4 - almost perfectly
sentence_similarity,"Sentence 1: Hagel, Dempsey face Congress over defense budget Sentence 2: Hagel laments ""political"" changes to US defence budget",4 - almost perfectly
sentence_similarity,Sentence 1: Sony to sell PC unit and cut jobs Sentence 2: Sony to axe PC unit in major business overhaul,3 - probably
sentence_similarity,Sentence 1: Man kills 4 in Calif. before police shoot him dead Sentence 2: Police: Gunman killed 6 in California shootings,2 - possibly
sentence_similarity,Sentence 1: N. Korea Deports Elderly American Sentence 2: North Korea deports detained US war veteran,2 - possibly
sentence_similarity,"Sentence 1: Mandela remembered by family, as stadium memorial service is planned Sentence 2: Mandela's family thanks nation and world for support",1 - probably not
sentence_similarity,Sentence 1: Ukrainian presidency says deal reached at crisis talks Sentence 2: Ukraine rivals sign deal to end crisis,4 - almost perfectly
sentence_similarity,"Sentence 1: Syria's PM escapes assassination try, regime says Sentence 2: Syrian prime minister survives assassination attempt",4 - almost perfectly
sentence_similarity,Sentence 1: At least 18 killed in Iraq mosque bombing Sentence 2: More than 60 killed at Iraq funeral,0 - definitely not
sentence_similarity,Sentence 1: Police surround protesters in Belfast ahead of G8 Sentence 2: Peaceful anti-G8 protest held in Belfast,3 - probably
sentence_similarity,Sentence 1: George Zimmerman found not guilty of Trayvon Martin murder Sentence 2: George Zimmerman Verdict Propels Cable News Into Talkradio Mode,1 - probably not
sentence_similarity,"Sentence 1: Ten rescued off Waterford, Dublin coasts Sentence 2: Six rescued after boat capsizes in Dublin Bay",3 - probably
sentence_similarity,Sentence 1: Mandela spends third day in hospital Sentence 2: Mandela in Hospital for 3rd Day,5 - perfectly
sentence_similarity,Sentence 1: One killed in clashes at Muslim Brotherhood Cairo offices Sentence 2: Egypt: Protesters storm Muslim Brotherhood's HQ,2 - possibly
sentence_similarity,Sentence 1: Saudi Women To Protest Against Driving Ban Sentence 2: Saudi women drive in protest with little problem,2 - possibly
sentence_similarity,Sentence 1: Russian parliament allows Putin to use military in Ukraine Sentence 2: President Obama warns Russia to stay out of Ukraine,1 - probably not
sentence_similarity,Sentence 1: Nelson Mandela hospital release reports 'incorrect' Sentence 2: Nelson Mandela Goes Home After Hospital Stay,2 - possibly
sentence_similarity,Sentence 1: World stocks rise on hopes Fed to keep stimulus Sentence 2: Fed expected to maintain stimulus,1 - probably not
sentence_similarity,Sentence 1: No winners in a war of sanctions Sentence 2: The impact of sanctions on Russia,1 - probably not
sentence_similarity,Sentence 1: World Cup hit by new stadium death Sentence 2: Worker dies at World Cup stadium,3 - probably
sentence_similarity,Sentence 1: Tata Nano and other Indian small cars fail crash tests Sentence 2: How does world's cheapest car do in crash test?,1 - probably not
sentence_similarity,"Sentence 1: Greece reaches agreement with troika, bailout tranche expected within days Sentence 2: Debt inspectors reach agreement with Greece",3 - probably
sentence_similarity,Sentence 1: Murray ends 77-year wait for British win Sentence 2: Murray wins Wimbledon title ends Britains 77year agony,5 - perfectly
sentence_similarity,Sentence 1: Malaysia Airlines plane crashes on Ukraine-Russia border - live Sentence 2: US: Russia Massing Troops on Ukraine Border,0 - definitely not
sentence_similarity,Sentence 1: The covert war in Pakistan Sentence 2: New major earthquake rocks southwest Pakistan,0 - definitely not
sentence_similarity,Sentence 1: Senior CPC official meets top DPRK leader's special envoy Sentence 2: North Korean leader sends 'special envoy' to China,3 - probably
sentence_similarity,Sentence 1: Pope calls for action on climate change in draft encyclical Sentence 2: Pope urges action on climate change in draft encyclical,5 - perfectly
sentence_similarity,Sentence 1: Singapore shares open 0.28% lower on Thursday Sentence 2: Singapore shares open 0.19% higher on Thursday,2 - possibly
sentence_similarity,Sentence 1: Who Is Jihadi John? Sentence 2: Who was 'Jihadi John?',5 - perfectly
sentence_similarity,Sentence 1: Headlines in major Iranian newspapers on Oct 4 Sentence 2: Headlines in several Iranian newspapers on Oct 19,2 - possibly
sentence_similarity,Sentence 1: US Attorney General Holder resigns Sentence 2: US Attorney general Eric Holder to resign,4 - almost perfectly
sentence_similarity,"Sentence 1: U.S., EU Widen Sanctions On Russia Sentence 2: U.S., EU Boost Sanctions On Russia",5 - perfectly
sentence_similarity,Sentence 1: Top Asian News at 2:30 p.m. GMT Sentence 2: Top Asian News 1:25 p.m. GMT,1 - probably not
sentence_similarity,Sentence 1: How the Dow Jones Industrial Average Did Wednesday Sentence 2: How the Dow Jones Industrial Average Fared on Monday,2 - possibly
sentence_similarity,"Sentence 1: Hajj to go ahead despite crane collapse, officials vow Sentence 2: Hajj to go ahead despite crane collapse",4 - almost perfectly
sentence_similarity,Sentence 1: US House Republicans elect Paul Ryan as speaker Sentence 2: US House Republicans eye reluctant Ryan for speaker,3 - probably
sentence_similarity,Sentence 1: Top Asian News at 4:00 p.m. GMT Sentence 2: Top Asian News 8:39 a.m. GMT,3 - probably
sentence_similarity,Sentence 1: Singapore shares open 0.83% higher on Wednesday Sentence 2: Singapore shares open 0.06% lower on Tuesday,1 - probably not
sentence_similarity,Sentence 1: China treasury bond futures open higher Tuesday Sentence 2: China treasury bond futures close mixed Wednesday,1 - probably not
sentence_similarity,Sentence 1: US Attorney General Holder resigns Sentence 2: Attorney General Eric Holder to Resign,5 - perfectly
sentence_similarity,Sentence 1: Headlines in major Iranian newspapers on Sept 27 Sentence 2: Headlines in several Iranian newspapers on Oct 19,3 - probably
sentence_similarity,Sentence 1: China on high alert for typhoon Kalmaegi Sentence 2: China issues yellow alert for typhoon Kalmaegi,4 - almost perfectly
sentence_similarity,Sentence 1: Saudi-led airstrikes hit Yemeni capital Sentence 2: Saudi airstrikes in Yemen's capital kill 29,3 - probably
sentence_similarity,Sentence 1: Mali hunts jihadist nightclub killers Sentence 2: Militants attack UN as Mali hunts jihadist nightclub killers,3 - probably
sentence_similarity,Sentence 1: 7.3 magnitude earthquake strikes Nepal Sentence 2: 6.6-magnitude earthquake strikes off Indonesia,1 - probably not
sentence_similarity,Sentence 1: Tokyo shares open higher over buoyant U.S. market Sentence 2: Tokyo shares open higher tracing U.S. gains,4 - almost perfectly
sentence_similarity,Sentence 1: Iran's parliament backs nuclear deal Sentence 2: Iran hardliners attack nuclear deal,1 - probably not
sentence_similarity,Sentence 1: Hawaii preps for first hurricane in 22 years Sentence 2: Hawaii bracing as first hurricane in 22 years approaches,5 - perfectly
sentence_similarity,Sentence 1: Iraq bombings kill at least 26 Sentence 2: Iraq suicide bomber kills at least 12,2 - possibly
sentence_similarity,Sentence 1: Sierra Leone in Ebola lockdown Sentence 2: Sierra Leone Reaches Final Day of Ebola Lockdown,3 - probably
sentence_similarity,Sentence 1: Tokyo shares open higher on buoyant U.S. market Sentence 2: Tokyo shares open higher following strong U.S. performance,4 - almost perfectly
sentence_similarity,"Sentence 1: 4 killed, several injured in SW China car accident Sentence 2: Two killed, seventeen injured in Raiwind road accident",0 - definitely not
sentence_similarity,"Sentence 1: More than 3,400 migrants rescued at sea in Mediterranean Sentence 2: Over 2,000 migrants rescued from wooden boats in Mediterranean",3 - probably
sentence_similarity,Sentence 1: Lewis Hamilton Takes Pole for Russian GP Sentence 2: Lewis Hamilton wins inaugural Russian GP,4 - almost perfectly
sentence_similarity,Sentence 1: UN Security Council hears Yemen envoy's final ... Sentence 2: UN Security Council urges Yemen's Houthis to end...,2 - possibly
sentence_similarity,"Sentence 1: 4 dead, 3 injured in east China road accident Sentence 2: 2 dead, 8 injured in central Israel traffic accident",0 - definitely not
sentence_similarity,Sentence 1: Markets Live: Waiting for China data Sentence 2: Markets Live: China drags,2 - possibly
sentence_similarity,"Sentence 1: Palestinians, Israeli police clash at Jerusalem's al-Aqsa Sentence 2: Palestinian Shot by Israeli Police in East Jerusalem Dies",2 - possibly
sentence_similarity,Sentence 1: Suspected Boko Haram suicide bombers in Nigeria kill 24 Sentence 2: Suspected Boko Haram attacks kill dozens in Nigeria,4 - almost perfectly
sentence_similarity,Sentence 1: The end of the Hong Kong protests? Sentence 2: UK 'concern' over Hong Kong protests,2 - possibly
sentence_similarity,Sentence 1: Russian warplanes strike inside Syria Sentence 2: Russian roulette in Syria,2 - possibly
sentence_similarity,Sentence 1: CCTV of gunmen in Tunisia museum attack Sentence 2: 19 killed in Tunis museum attack,1 - probably not
sentence_similarity,Sentence 1: Live Blog: Ukraine In Crisis Sentence 2: Live Blog: Iraq In Turmoil,0 - definitely not
sentence_similarity,Sentence 1: Nigeria Votes in Tight Presidential Election Sentence 2: Guineans Go to the Polls in Presidential Elections,2 - possibly
sentence_similarity,Sentence 1: Prince William dons samurai gear on Japan tour Sentence 2: Prince William of Britain arrives in Beijing,2 - possibly
sentence_similarity,Sentence 1: Micronesia vice president to visit China Sentence 2: Vice President of Bolivia to visit China,2 - possibly
sentence_similarity,Sentence 1: Islamic State issues video of beheading of US hostage Sentence 2: Islamic State posts second propaganda video of UK hostage,3 - probably
sentence_similarity,"Sentence 1: Iran ends cooperation agreement with Pakistan Sentence 2: Iran, Tajikistan sign cooperation agreement",2 - possibly
sentence_similarity,Sentence 1: Teenager tests negative for Ebola Sentence 2: Texas hospital worker tests positive for Ebola,1 - probably not
sentence_similarity,Sentence 1: Texas sues over Syrian refugees Sentence 2: Turkey 'exploits' Syrian refugees,1 - probably not
sentence_similarity,Sentence 1: New US Sanctions Target Overseas Cyber Attackers Sentence 2: China disagrees with U.S. sanctions program on overseas cyber attackers,2 - possibly
sentence_similarity,"Sentence 1: 5 killed in Israeli air strikes in Gaza Sentence 2: 38 IS militants killed in clashes, air strikes in Iraq",0 - definitely not
sentence_similarity,"Sentence 1: Deadly Blast Rocks Coal Mine in East Ukraine Sentence 2: 12 Dead, Despite Cease-fire in East Ukraine",2 - possibly
sentence_similarity,Sentence 1: Greece bailout uncertainty weighs on global markets Sentence 2: Greece concerns drag on Asia markets,3 - probably
sentence_similarity,Sentence 1: Rooney helps Man United beat Everton 3-0 in Premier League Sentence 2: West Ham beats Newcastle 2-0 in Premier League,1 - probably not
sentence_similarity,Sentence 1: Hard-line Jewish leader shot in Jerusalem Sentence 2: Israeli leader urges calm in Jerusalem,1 - probably not
sentence_similarity,Sentence 1: Backstage Moves Intensify as Fight Against Islamic State Widens Sentence 2: Mixed Progress Reported in Fight Against Islamic State,2 - possibly
sentence_similarity,"Sentence 1: Libya: UN orders investigation into Libya rights abuses Sentence 2: India's top court orders investigation into job scam, deaths",0 - definitely not
sentence_similarity,Sentence 1: Burundi police fire tear gas at protesters Sentence 2: Montenegrin police fire teargas to disperse opposition,1 - probably not
sentence_similarity,"Sentence 1: Nepal earthquake death toll surpasses 7,000 Sentence 2: Death toll in Nepal earthquake tops 8,000",3 - probably
sentence_similarity,Sentence 1: Ashya's Parents Arrive For Extradition Hearing Sentence 2: Ashya King's parents freed from jail in Spain,1 - probably not
sentence_similarity,Sentence 1: Nigeria admits slow response in Ebola case Sentence 2: US ramps up response to Ebola crisis,1 - probably not
sentence_similarity,Sentence 1: Thousands cross Austria-Hungary border Sentence 2: Thousands of Russians stranded abroad,1 - probably not
sentence_similarity,Sentence 1: Oscar Pistorius sentenced to 5 years in prison Sentence 2: 'Bookkeeper of Auschwitz' Sentenced to Four Years in Prison,0 - definitely not
sentence_similarity,Sentence 1: Pro-Palestinian Activists March to UN Headquarters Sentence 2: Pro-Palestinian activists prepare flotilla to break Gaza blockade,2 - possibly
sentence_similarity,Sentence 1: Benzema faces possible charges in sex-tape case Sentence 2: Menendez faces possible corruption charges,1 - probably not
sentence_similarity,Sentence 1: All 224 dead in Russian airliner mystery crash Sentence 2: Heat flash detected at time of Russian airliner crash,2 - possibly
sentence_similarity,Sentence 1: Govt. to hold talks with FTII students Sentence 2: Cameron to hold talks with Sturgeon on UK future,0 - definitely not
sentence_similarity,Sentence 1: Li Na to announce retirement Sentence 2: US Senator Ted Cruz to announce presidential bid,0 - definitely not
sentence_similarity,Sentence 1: Gunners fire but fail to advance in Champions League Sentence 2: EPL clubs out to avoid Champions League woes,1 - probably not
sentence_similarity,Sentence 1: Iranian President praises nuclear deal Sentence 2: Iran arrests several spies near nuclear plant,1 - probably not
sentence_similarity,Sentence 1: Boko Haram disrupts Nigerian elections Sentence 2: Press awash with Nigeria\'s general elections,1 - probably not
sentence_similarity,"Sentence 1: South Korea regrets North's refusal of talks Sentence 2: South Korea reports 14th Mers death, 12 new cases",1 - probably not
sentence_similarity,Sentence 1: Plane Crash Site Search Called off for the Night Sentence 2: Tour De France Pack Sets off for Stage 15,0 - definitely not
sentence_similarity,Sentence 1: Obama queries Turnbull over China port deal Sentence 2: Spanish bulls gore seven to death,0 - definitely not
sentence_similarity,Sentence 1: Hezbollah targets Qaeda gathering along border with Syria Sentence 2: Belarus tightens security along the border with Ukraine,0 - definitely not
sentence_similarity,Sentence 1: South Korea reports seven new MERS cases Sentence 2: South Korean woman in contact with MERS patient dies,1 - probably not
sentence_similarity,Sentence 1: Obama calls for international front against IS Sentence 2: Obama vows to save Iraqis stranded on mountain,0 - definitely not
sentence_similarity,"Sentence 1: Who abandoned 3 Boeing planes at the airport? Sentence 2: Police abandon posts in Lesotho, fear for lives",0 - definitely not
sentence_similarity,Sentence 1: North Korea to put US citizen on trial Sentence 2: N Korea hit with new US sanctions,2 - possibly
sentence_similarity,Sentence 1: Hong Kong officials resume work as protests thin Sentence 2: Hong Kong student leaders mull protest retreat,2 - possibly
sentence_similarity,Sentence 1: Ebola UK: NHS staff 'panicked' after suspected Ebola cases Sentence 2: UK says investigating 2 suspected MERS cases,0 - definitely not
sentence_similarity,Sentence 1: N. Korea agrees to talks with South Sentence 2: Johor crowns its fifth Sultan,0 - definitely not
sentence_similarity,"Sentence 1: Iran, a large important partner for Russia: Novak Sentence 2: Iran reiterates support for Iraq, Syria",0 - definitely not
sentence_similarity,Sentence 1: Taiwan's president charters plane to pay respects to Lee Sentence 2: Poland president loses to challenger,0 - definitely not
sentence_similarity,Sentence 1: Narendra Modi 'photoshopped' image of Chennai floods visit goes viral Sentence 2: PM Narendra Modi speaks of non-discrimination and equality,0 - definitely not
sentence_similarity,Sentence 1: UN chief welcomes peaceful presidential elections in Guinea Sentence 2: UN chief condemns attack against peacekeepers in Mali,1 - probably not
sentence_similarity,Sentence 1: Pakistan executions draw international ire Sentence 2: Pakistan protests ceasefire violations by India,0 - definitely not
sentence_similarity,Sentence 1: Two Australians killed in Kenya after bus crashed into river Sentence 2: Permalink to Two killed in Germany train accident,0 - definitely not
sentence_similarity,"Sentence 1: France shuts mosque, arrests man in crackdown after attacks Sentence 2: Security tightened at New Delhi churches after attacks",2 - possibly
sentence_similarity,Sentence 1: Russian plane reportedly crashes in Egypt Sentence 2: Pilot killed as US jet crashes in England,2 - possibly
sentence_similarity,Sentence 1: Severe Gales As Storm Clodagh Hits Britain Sentence 2: Merkel pledges NATO solidarity with Latvia,0 - definitely not
sentence_similarity,Sentence 1: President heading to Bahrain Sentence 2: President Xi: China to continue help to fight Ebola,0 - definitely not
sentence_similarity,"Sentence 1: China, India vow to further bilateral ties Sentence 2: China Scrambles to Reassure Jittery Stock Traders",0 - definitely not
sentiment,"unpretentious, charming, quirky, original",positive
sentiment,Very well-written and very well-acted.,positive
sentiment,Disney again ransacks its archives for a quick-buck sequel.,negative
sentiment,Elvira fans could hardly ask for more.,positive
sentiment,An extremely unpleasant film.,negative
sentiment,Amazingly lame.,negative
sentiment,This comic gem is as delightful as it is derivative.,positive
sentiment,Tedious Norwegian offering which somehow snagged an Oscar nomination.,negative
sentiment,Intelligent and moving.,positive
sentiment,"Exhilarating, funny and fun.",positive
sentiment,Feeble comedy.,negative
sentiment,Excruciatingly unfunny and pitifully unromantic.,negative
sentiment,Another entertaining romp from Robert Rodriguez.,positive
sentiment,A party-hearty teen flick that scalds like acid.,negative
sentiment,This may be Burns's strongest film since The Brothers McMullen.,positive
sentiment,Morton deserves an Oscar nomination.,positive
sentiment,"A meditation on faith and madness, Frailty is blood-curdling stuff.",positive
sentiment,This thing is virtually unwatchable.,negative
sentiment,K-19: The Widowmaker is a great yarn.,positive
sentiment,An enjoyable experience.,positive
sentiment,The satire is just too easy to be genuinely satisfying.,negative
sentiment,Heavy with flabby rolls of typical Toback machinations.,negative
sentiment,Another Best of the Year selection.,positive
sentiment,"Muddled, simplistic and more than a little pretentious.",negative
sentiment,"Everything's serious, poetic, earnest and -- sadly -- dull.",negative
sentiment,Comes across as a fairly weak retooling.,negative
sentiment,Just isn't as weird as it ought to be.,negative
sentiment,Humor in I Spy is so anemic.,negative
sentiment,"Violent, vulgar and forgettably entertaining.",negative
sentiment,"Plodding, peevish and gimmicky.",negative
sentiment,A rote exercise in both animation and storytelling.,negative
sentiment,Little more than a well-mounted history lesson.,negative
sentiment,Much of the cast is stiff or just plain bad.,negative
sentiment,"It is a likable story, told with competence.",positive
sentiment,Originality is sorely lacking.,negative
sentiment,"Satisfyingly scarifying, fresh and old-fashioned at the same time.",positive
sentiment,A non-mystery mystery.,negative
sentiment,Arguably the best script that Besson has written in years.,positive
sentiment,Witless and utterly pointless.,negative
sentiment,The cast delivers without sham the raw-nerved story.,positive
sentiment,"entertaining enough, but nothing new",negative
sentiment,We get the comedy we settle for.,negative
sentiment,...silly humbuggery...,negative
sentiment,Too daft by half ... but supremely good natured.,positive
sentiment,Spiderman ROCKS,positive
sentiment,"The title, alone, should scare any sane person away.",negative
sentiment,The verdict: Two bodies and hardly a laugh between them.,negative
sentiment,"By its modest, straight-ahead standards, Undisputed scores a direct hit.",positive
sentiment,Highly engaging.,positive
sentiment,Video games are more involving than this mess.,negative
sentiment,A marvel of production design.,positive
sentiment,A poignant comedy that offers food for thought.,positive
sentiment,...hokey art house pretension.,negative
sentiment,Delivers roughly equal amounts of beautiful movement and inside information.,positive
sentiment,The movie's blatant derivativeness is one reason it's so lackluster.,negative
sentiment,"Thought-provoking and stylish, if also somewhat hermetic.",positive
sentiment,Strange and beautiful film.,positive
sentiment,"I've never bought from telemarketers, but I bought this movie.",positive
sentiment,Painfully padded.,negative
sentiment,Collapses under its own meager weight.,negative
sentiment,Has a solid emotional impact.,positive
sentiment,A Movie to Forget,negative
sentiment,Bottom-rung New Jack City wannabe.,negative
sentiment,Hoffman's performance is authentic to the core of his being.,positive
sentiment,Horrible.,negative
sentiment,"Best indie of the year, so far.",positive
sentiment,Well-meant but unoriginal.,negative
sentiment,The cumulative effect of the movie is repulsive and depressing.,negative
sentiment,Mordantly funny and intimately knowing ...,positive
sentiment,"Weighted down with slow, uninvolving storytelling and flat acting.",negative
sentiment,"A markedly inactive film, City is conversational bordering on confessional.",negative
sentiment,...begins on a high note and sustains it beautifully.,positive
sentiment,"director Hoffman, his writer and Kline's agent should serve detention",negative
sentiment,"Guy gets girl, guy loses girl, audience falls asleep.",negative
sentiment,"the film never rises above a conventional, two dimension tale",negative
sentiment,"Laughably, irredeemably awful.",negative
sentiment,"Romantic, riveting and handsomely animated.",positive
sentiment,"A classy, sprightly spin on film.",positive
sentiment,"Witty, vibrant, and intelligent.",positive
sentiment,Never once predictable.,positive
sentiment,Harmless fun.,positive
sentiment,...bibbidy-bobbidi-bland.,negative
sentiment,"A dull, inconsistent, dishonest female bonding picture.",negative
sentiment,A compelling story of musical passion against governmental odds.,positive
sentiment,Exciting documentary.,positive
sentiment,Throw Smoochy from the train!,negative
sentiment,A modestly surprising movie.,positive
sentiment,The premise of Jason X is silly but strangely believable.,positive
sentiment,"This is a dark, gritty, sometimes funny little gem.",positive
sentiment,A fairly harmless but ultimately lifeless feature-length afterschool special.,negative
sentiment,Staggeringly dreadful romance.,negative
sentiment,Final verdict: You've seen it all before.,negative
sentiment,An enjoyable feel-good family comedy regardless of race.,positive
sentiment,Oscar caliber cast doesn't live up to material,negative
sentiment,"It's funny, as the old saying goes, because it's true.",positive
sentiment,The trashy teen-sleaze equivalent of Showgirls.,negative
sentiment,Gooding offers a desperately ingratiating performance.,negative
sentiment,Neatly constructed thriller.,positive
sentiment,A chilling movie without oppressive gore.,positive
sentiment,The story has little wit and no surprises.,negative
sentiment,Its rawness and vitality give it considerable punch.,positive
sentiment,A dazzling dream of a documentary.,positive
sentiment,Manages to delight without much of a story.,positive
sentiment,"Enormously enjoyable, high-adrenaline documentary.",positive
sentiment,A thought-provoking picture.,positive
sentiment,Aggravating and tedious.,negative
sentiment,A lot smarter than your average Bond.,positive
sentiment,"Too much power, not enough puff.",negative
sentiment,"She may not be real, but the laughs are.",positive
sentiment,"Entirely suspenseful, extremely well-paced and ultimately... dare I say, entertaining!",positive
sentiment,"...a solid, well-formed satire.",positive
sentiment,Low comedy doesn't come much lower.,negative
sentiment,A winning and wildly fascinating work.,positive
sentiment,Rarely has a film's title served such dire warning.,negative
sentiment,Works as pretty contagious fun.,positive
sentiment,"It's as if Allen, at 66, has stopped challenging himself.",negative
sentiment,A small gem from Belgium.,positive
sentiment,A gift to anyone who loves both dance and cinema,positive
sentiment,Constantly slips from the grasp of its maker.,negative
sentiment,Beautifully produced.,positive
sentiment,Feels strangely hollow at its emotional core.,negative
sentiment,Schrader examines Crane's decline with unblinking candor.,positive
sentiment,Cinematic poo.,negative
sentiment,"By turns pretentious, fascinating, ludicrous, provocative and vainglorious.",positive
sentiment,An effortlessly accomplished and richly resonant work.,positive
sentiment,"This is a truly, truly bad movie.",negative
sentiment,A little better than Sorcerer's Stone.,positive
sentiment,Ian Holm conquers France as an earthy Napoleon,positive
sentiment,Manages to be wholesome and subversive at the same time.,positive
sentiment,A manically generous Christmas vaudeville.,positive
sentiment,What a pity ... that the material is so second-rate.,negative
sentiment,Cusack's just brilliant in this.,positive
sentiment,"Pretty much sucks, but has a funny moment or two.",negative
sentiment,Meticulously uncovers a trail of outrageous force and craven concealment.,positive
sentiment,No surprises.,negative
sentiment,An unexpectedly sweet story of sisterhood.,positive
sentiment,Steers refreshingly clear of the usual cliches.,positive
sentiment,"Just another disjointed, fairly predictable psychological thriller.",negative
sentiment,This is no ``Waterboy!'',negative
sentiment,I liked this film a lot...,positive
sentiment,"Complex, sinuously plotted and, somehow, off-puttingly cold.",negative
sentiment,A haunting tale of murder and mayhem.,positive
sentiment,Ya-Yas everywhere will forgive the flaws and love the film.,positive
sentiment,...quite good at providing some good old fashioned spooks.,positive
sentiment,This is a superior horror flick.,positive
sentiment,Skip the film and buy the Philip Glass soundtrack CD.,negative
sentiment,A flick about our infantilized culture that isn't entirely infantile.,positive
sentiment,A very charming and funny movie.,positive
sentiment,"... there's a choppy, surface-effect feeling to the whole enterprise.",negative
sentiment,Michel Piccoli's moving performance is this films reason for being.,positive
sentiment,As saccharine as it is disposable.,negative
sentiment,overburdened with complicated plotting and banal dialogue,negative
sentiment,Worth seeing just for Weaver and LaPaglia.,positive
sentiment,"An unsettling, memorable cinematic experience that does its predecessors proud.",positive
